time,seconds_elapsed,lux
1654945836403728400,-21.476271728515623,157.1637420654297
1654945859223728400,1.343728271484375,177.13624572753906
1654945860890777600,3.010777587890625,295.1000061035156
1654945861170777600,3.290777587890625,8.800000190734863
1654945861370779000,3.49077880859375,0
1654945871690782700,13.81078271484375,0
1654945897859794700,39.979794677734375,0
1654945949159791600,91.27979150390625,0
1654945949359804400,91.47980444335937,0
1654946009319786800,151.43978686523437,0
1654946069559873300,211.67987329101564,0
1654946126479789300,268.5997893066406,43
1654946126679873800,268.7998737792969,55.5
1654946127005977300,269.1259772949219,71.29999542236328
1654946127225981000,269.34598095703126,79.5999984741211
1654946127865976000,269.98597607421874,89.26625061035156
1654946130135975200,272.25597509765623,99.25499725341797
1654946135155975000,277.2759748535156,88.44499969482422
1654946135615973000,277.7359731445313,77.78125
1654946136075973000,278.19597314453125,69.01874542236328
1654946136895975200,279.0159750976562,60.34499740600586
1654946137115975200,279.23597509765625,50.772499084472656
1654946137215975700,279.3359755859375,45.23624801635742
1654946137315975000,279.43597485351563,39.28125
1654946137415975200,279.53597509765626,33.654998779296875
1654946137515975000,279.6359748535156,28.936248779296875
1654946137615975200,279.73597509765625,26.063749313354492
1654946138135975000,280.2559748535156,23.618749618530273
1654946139355975200,281.47597509765626,28.28125
1654946139475975200,281.59597509765626,31.618749618530273
1654946139575975000,281.6959748535156,35.89125061035156
1654946139675975700,281.7959755859375,41.2912483215332
1654946139775975200,281.8959750976563,48.14500045776367
1654946139875975200,281.99597509765624,55.98124694824219
1654946139995975000,282.11597485351564,64.06375122070312
1654946140195975000,282.3159748535156,73.28125
1654946140835973000,282.95597314453124,81.53624725341797
1654946141455975200,283.5759750976562,95.25499725341797
1654946141655976000,283.77597583007815,106.75499725341797
1654946142075973400,284.19597338867186,94.9000015258789
1654946142295973400,284.4159733886719,83.70874786376953
1654946142495973400,284.6159733886719,69.47249603271484
1654946142595975400,284.7159753417969,60.70874786376953
1654946142715975400,284.8359753417969,51.599998474121094
1654946142835969500,284.9559694824219,44.908748626708984
1654946143055969500,285.17596948242186,39.34499740600586
1654946143375971600,285.4959716796875,35.21875
1654946143715969500,285.8359694824219,30.17249870300293
1654946143935971300,286.0559714355469,27.16374969482422
1654946144575969300,286.69596923828124,31.208749771118164
1654946144795970000,286.91596997070315,38.227500915527344
1654946144895975700,287.0159755859375,42.94499969482422
1654946144995978500,287.115978515625,48.64500045776367
1654946145115971600,287.2359716796875,55.84499740600586
1654946145255971800,287.3759719238281,63.59124755859375
1654946145555971600,287.6759716796875,70.8637466430664
1654946146735972000,288.85597216796873,82.30874633789062
1654946147395971600,289.5159716796875,71.40874481201172
1654946147595972000,289.71597216796874,59.908748626708984
1654946147735971600,289.8559716796875,52.69999694824219
1654946147855972400,289.9759724121094,44.58124923706055
1654946147955971800,290.07597192382815,36.76374816894531
1654946148075979000,290.19597900390625,31.491249084472656
1654946148555972600,290.67597265625,27.89124870300293
1654946148795972400,290.9159724121094,25.291250228881836
1654946149855971600,291.9759716796875,28.136249542236328
1654946150075972400,292.19597241210937,32.85499954223633
1654946150275978500,292.395978515625,39.92749786376953
1654946150495971600,292.6159716796875,48.29999923706055
1654946150695971300,292.8159714355469,56.78125
1654946150955971300,293.0759714355469,66.33625030517578
1654946151155978800,293.2759787597656,74.6187515258789
1654946151455972400,293.57597241210937,83.03624725341797
1654946152035974100,294.1559741210938,94.33625030517578
1654946152455971300,294.5759714355469,107.5999984741211
1654946154075972000,296.19597216796876,126.09124755859375
1654946154375971600,296.4959716796875,141.7637481689453
1654946155235971600,297.3559716796875,126.28125
1654946155865974000,297.98597412109376,144.39999389648438
1654946156185970700,298.305970703125,166.34500122070312
1654946157085972200,299.20597216796875,185.89125061035156
1654946157485972500,299.6059724121094,212.7637481689453
1654946157785970700,299.905970703125,245.427490234375
1654946158225973000,300.3459729003906,277.4637451171875
1654946159265974300,301.38597436523435,247.81874084472656
1654946159765973000,301.88597290039064,224.7637481689453
1654946161165973200,303.2859731445312,255.55499267578125
1654946161465972700,303.58597265625,315.4812316894531
1654946161705972700,303.82597265625,385.5724792480469
1654946161905972000,304.02597192382814,470.427490234375
1654946162035972000,304.15597216796874,532.791259765625
1654946162135972000,304.25597216796876,605
1654946162235972400,304.3559724121094,698.7362060546875
1654946162335973000,304.45597314453124,795.0549926757812
1654946162455971300,304.5759714355469,900.5449829101562
1654946162655971600,304.7759716796875,1090.62744140625
1654946162855971600,304.9759716796875,1247.7362060546875
1654946163155971600,305.2759716796875,1396.0911865234375
1654946163575970000,305.6959699707031,1197.9912109375
1654946163775969800,305.8959697265625,987.4362182617188
1654946163895971600,306.0159716796875,882.844970703125
1654946164055971600,306.1759716796875,792.3462524414062
1654946164155970300,306.27597021484377,706.5612182617188
1654946164255970000,306.3759699707031,626.7762451171875
1654946164365970700,306.485970703125,549.6637573242188
1654946164475969500,306.5959694824219,490.8637390136719
1654946164695971800,306.8159719238281,434.3637390136719
1654946165355971600,307.4759716796875,490.2699890136719
1654946165905974000,308.0259741210937,545.40625
1654946166755972600,308.87597265625,489.0174865722656
1654946167175972400,309.2959724121094,439.5199890136719
1654946169405971000,311.52597094726565,496.2225036621094
1654946170045972500,312.1659724121094,560.7562255859375
1654946170595972900,312.7159729003906,635.001220703125
1654946171135973000,313.25597314453125,707.0537109375
1654946172085973800,314.2059738769531,620.9037475585938
1654946172415980300,314.5359802246094,560.7562255859375
1654946175639535600,317.75953564453124,53.19999694824219
1654946175839534000,317.9595341796875,6.299999713897705
1654946176039534000,318.1595341796875,0
