time,acc_phone_x,acc_phone_y,acc_phone_z,gyr_phone_x,gyr_phone_y,gyr_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,light_phone_lux
2022-06-11 11:10:36.4030,0,0,0,0,0,0,0,0,0,157.16374
2022-06-11 11:10:58.0600,0,0,0,0,0,0,7.4812503,-43.18125,-24.056252,0
2022-06-11 11:10:58.0800,0,0,0,0,0,0,8.71875,-42.787502,-24.750002,0
2022-06-11 11:10:58.1000,0,0,0,0,0,0,7.8187504,-43.631252,-23.56875,0
2022-06-11 11:10:58.1200,0,0,0,0,0,0,8.325001,-44.362503,-23.550001,0
2022-06-11 11:10:58.1400,0,0,0,0,0,0,6.6000004,-42.9375,-24.675001,0
2022-06-11 11:10:58.1600,0,0,0,0,0,0,8.94375,-45,-23.8875,0
2022-06-11 11:10:58.1770,-0.26851752,-0.2890768,1.1301765,0,0,0,0,0,0,0
2022-06-11 11:10:58.1800,0,0,0,0,0,0,8.043751,-43.10625,-24.225,0
2022-06-11 11:10:58.1970,-0.1541869,-0.19115162,1.0352054,0,0,0,0,0,0,0
2022-06-11 11:10:58.2000,0,0,0,0,0,0,8.2875,-43.95,-23.25,0
2022-06-11 11:10:58.2180,-0.10091478,-0.28101826,1.0293627,0,0,0,0,0,0,0
2022-06-11 11:10:58.2200,0,0,0,0,0,0,9.28125,-44.081253,-24.075,0
2022-06-11 11:10:58.2380,-0.05220461,-0.5491276,0.5997524,0,0,0,0,0,0,0
2022-06-11 11:10:58.2400,0,0,0,0,0,0,8.400001,-45.05625,-21.91875,0
2022-06-11 11:10:58.2580,0.21604997,-0.36031723,0.32347536,0,0,0,0,0,0,0
2022-06-11 11:10:58.2600,0,0,0,0,0,0,8.043751,-43.10625,-24.712502,0
2022-06-11 11:10:58.2790,0.26463246,-0.24072075,0.37763643,0,0,0,0,0,0,0
2022-06-11 11:10:58.2800,0,0,0,0,0,0,7.8,-44.850002,-23.85,0
2022-06-11 11:10:58.2990,0.123630345,-0.23271179,0.07167816,0,0,0,0,0,0,0
2022-06-11 11:10:58.3000,0,0,0,0,0,0,8.925,-43.350002,-24.4125,0
2022-06-11 11:10:58.3190,0.25361896,0.03291607,-0.40621614,0,0,0,0,0,0,0
2022-06-11 11:10:58.3200,0,0,0,0,0,0,6.9,-42.956253,-23.0625,0
2022-06-11 11:10:58.3400,0.42723262,0.29724407,-0.57703304,0,0,0,0,0,0,0
2022-06-11 11:10:58.3400,0,0,0,0,0,0,8.83125,-43.893753,-23.90625,0
2022-06-11 11:10:58.3600,0.12400979,0.37726116,-0.1723628,0,0,0,0,0,0,0
2022-06-11 11:10:58.3600,0,0,0,0,0,0,8.512501,-43.29375,-21.975,0
2022-06-11 11:10:58.3800,-0.5160056,0.22167587,0.74113274,0,0,0,0,0,0,0
2022-06-11 11:10:58.3800,0,0,0,0,0,0,8.25,-43.6875,-24.393751,0
2022-06-11 11:10:58.4000,-0.60506344,0.067193985,1.3749604,0,0,0,0,0,0,0
2022-06-11 11:10:58.4000,0,0,0,0,0,0,9.637501,-44.662502,-23.41875,0
