time,seconds_elapsed,z,y,x
1654945858060376600,0.18037646484375,-24.056251525878906,-43.181251525878906,7.481250286102295
1654945858080376600,0.20037646484375,-24.750001907348633,-42.78750228881836,8.71875
1654945858100376600,0.22037646484375,-23.568750381469727,-43.63125228881836,7.818750381469727
1654945858120376600,0.24037646484375,-23.55000114440918,-44.36250305175781,8.325000762939453
1654945858140376600,0.26037646484375,-24.67500114440918,-42.9375,6.600000381469727
1654945858160376600,0.28037646484375,-23.887500762939453,-45,8.943750381469727
1654945858180376600,0.30037646484375,-24.225000381469727,-43.10625076293945,8.043750762939453
1654945858200376600,0.32037646484375,-23.25,-43.95000076293945,8.287500381469727
1654945858220376600,0.34037646484375,-24.075000762939453,-44.08125305175781,9.28125
1654945858240376600,0.36037646484375,-21.918750762939453,-45.056251525878906,8.40000057220459
1654945858260376600,0.38037646484375,-24.712501525878906,-43.10625076293945,8.043750762939453
1654945858280376600,0.40037646484375,-23.850000381469727,-44.85000228881836,7.800000190734863
1654945858300376600,0.42037646484375,-24.412500381469727,-43.35000228881836,8.925000190734863
1654945858320376600,0.44037646484375,-23.0625,-42.95625305175781,6.900000095367432
1654945858340376600,0.46037646484375,-23.90625,-43.89375305175781,8.831250190734863
1654945858360376600,0.48037646484375,-21.975000381469727,-43.29375076293945,8.512500762939453
1654945858380376600,0.50037646484375,-24.39375114440918,-43.6875,8.25
1654945858400376600,0.52037646484375,-23.418750762939453,-44.66250228881836,9.637500762939453
1654945858420376600,0.54037646484375,-23.418750762939453,-43.89375305175781,8.850000381469727
1654945858440376600,0.56037646484375,-23.625,-43.48125076293945,9.9375
1654945858460376600,0.58037646484375,-22.40625,-44.64375305175781,8.362500190734863
1654945858480376600,0.60037646484375,-22.443750381469727,-43.98750305175781,8.568750381469727
1654945858500376600,0.62037646484375,-23.231250762939453,-43.61250305175781,7.818750381469727
1654945858520376600,0.64037646484375,-23.868751525878906,-44.94375228881836,8.512500762939453
1654945858540376600,0.66037646484375,-23.55000114440918,-45.09375,8.68125057220459
1654945858560376600,0.68037646484375,-24.95625114440918,-44.23125076293945,6.018750190734863
1654945858580376600,0.70037646484375,-25.406251907348633,-42.58125305175781,3.7125000953674316
1654945858600376600,0.72037646484375,-27.48750114440918,-44.10000228881836,3.6937501430511475
1654945858620376600,0.74037646484375,-30.58125114440918,-41.00625228881836,1.6500000953674316
1654945858640376600,0.76037646484375,-30.918750762939453,-36.525001525878906,2.90625
1654945858660376600,0.78037646484375,-30.712501525878906,-35.0625,5.475000381469727
1654945858680376600,0.80037646484375,-32.625,-34.72500228881836,9.24375057220459
1654945858700376600,0.82037646484375,-32.025001525878906,-32.79375076293945,9.206250190734863
1654945858720376600,0.84037646484375,-34.85625076293945,-32.04375076293945,10.668750762939453
1654945858740376600,0.86037646484375,-35.025001525878906,-30.412500381469727,9.65625
1654945858760376600,0.88037646484375,-35.64375305175781,-30.900001525878906,9.131250381469727
1654945858780376600,0.90037646484375,-36.86250305175781,-30.01875114440918,10.725000381469727
1654945858800376600,0.92037646484375,-37.33125305175781,-29.981250762939453,10.443750381469727
1654945858820376600,0.94037646484375,-34.48125076293945,-28.668750762939453,11.043750762939453
1654945858840376600,0.96037646484375,-35.4375,-30.30000114440918,12.05625057220459
1654945858860376600,0.98037646484375,-34.650001525878906,-29.662500381469727,12.43125057220459
1654945858880376600,1.00037646484375,-33.76875305175781,-31.781251907348633,11.925000190734863
1654945858900376600,1.02037646484375,-32.868751525878906,-30.993751525878906,13.425000190734863
1654945858920376600,1.04037646484375,-32.15625,-32.587501525878906,13.031250953674316
1654945858940376600,1.06037646484375,-30.562501907348633,-33.48750305175781,14.981250762939453
1654945858960376600,1.08037646484375,-29.437501907348633,-33.806251525878906,15.300000190734863
1654945858980376600,1.10037646484375,-31.387500762939453,-32.8125,14.906250953674316
1654945859000376600,1.12037646484375,-28.80000114440918,-31.743751525878906,14.268750190734863
1654945859020376600,1.14037646484375,-30.11250114440918,-32.98125076293945,15.356250762939453
1654945859040376600,1.16037646484375,-31.387500762939453,-34.3125,16.05000114440918
1654945859060376600,1.18037646484375,-31.068750381469727,-33.86250305175781,15.731250762939453
1654945859080376600,1.20037646484375,-30.262500762939453,-32.83125305175781,15.206250190734863
1654945859100376600,1.22037646484375,-29.756250381469727,-32.28750228881836,14.156250953674316
1654945859120376600,1.24037646484375,-28.762500762939453,-35.0625,15.581250190734863
1654945859140376600,1.26037646484375,-28.14375114440918,-34.33125305175781,16.368751525878906
1654945859160376600,1.28037646484375,-28.762500762939453,-33.82500076293945,14.456250190734863
1654945859180376600,1.30037646484375,-28.106250762939453,-35.71875,16.5
1654945859200376600,1.32037646484375,-29.400001525878906,-33.337501525878906,13.83750057220459
1654945859220376600,1.34037646484375,-29.73750114440918,-34.5,15.375000953674316
1654945859240376600,1.36037646484375,-28.106250762939453,-34.44375228881836,15.093750953674316
1654945859260376600,1.38037646484375,-29.400001525878906,-33.337501525878906,13.83750057220459
1654945859280376600,1.40037646484375,-30.562501907348633,-33.48750305175781,14.981250762939453
1654945859300376600,1.42037646484375,-29.756250381469727,-32.70000076293945,14.193750381469727
1654945859320376600,1.44037646484375,-30.01875114440918,-33.41250228881836,13.27500057220459
1654945859340376600,1.46037646484375,-30.881250381469727,-33.150001525878906,14.381250381469727
1654945859360376600,1.48037646484375,-30.975000381469727,-35.4375,14.02500057220459
1654945859380376600,1.50037646484375,-29.400001525878906,-32.56875228881836,13.050000190734863
1654945859400376600,1.52037646484375,-28.368751525878906,-34.48125076293945,13.106250762939453
1654945859420376600,1.54037646484375,-28.42500114440918,-33.82500076293945,14.475000381469727
1654945859440376600,1.56037646484375,-28.70625114440918,-34.10625076293945,13.350000381469727
1654945859460376600,1.58037646484375,-30.150001525878906,-34.91250228881836,13.27500057220459
1654945859480376600,1.60037646484375,-30.337501525878906,-33.65625,13.012500762939453
1654945859500376600,1.62037646484375,-30.150001525878906,-34.61250305175781,12.956250190734863
1654945859520376600,1.64037646484375,-27.693750381469727,-34.53750228881836,12.562500953674316
1654945859540376600,1.66037646484375,-28.687501907348633,-35.98125076293945,14.250000953674316
1654945859560376600,1.68037646484375,-29.681251525878906,-35.47500228881836,14.475000381469727
1654945859580376600,1.70037646484375,-30.356250762939453,-34.95000076293945,14.550000190734863
1654945859600376600,1.72037646484375,-29.64375114440918,-34.837501525878906,12.562500953674316
1654945859620376600,1.74037646484375,-29.681251525878906,-35.00625228881836,14.006250381469727
1654945859640376600,1.76037646484375,-30.318750381469727,-35.306251525878906,14.175000190734863
1654945859660376600,1.78037646484375,-29.381250381469727,-34.368751525878906,14.362500190734863
1654945859680376600,1.80037646484375,-29.625001907348633,-36.01875305175781,13.387500762939453
1654945859700376600,1.82037646484375,-28.481250762939453,-35.98125076293945,13.125000953674316
1654945859720376600,1.84037646484375,-29.662500381469727,-34.96875,13.725000381469727
1654945859740376600,1.86037646484375,-26.962501525878906,-38.15625,13.068750381469727
1654945859760376600,1.88037646484375,-25.89375114440918,-35.0625,12.487500190734863
1654945859780376600,1.90037646484375,-26.981250762939453,-38.64375305175781,13.818750381469727
1654945859800376600,1.92037646484375,-25.51875114440918,-37.70625305175781,12.90000057220459
1654945859820376600,1.94037646484375,-25.51875114440918,-36.84375,12.52500057220459
1654945859840376600,1.96037646484375,-25.05000114440918,-38.26875305175781,14.231250762939453
1654945859860376600,1.98037646484375,-25.368751525878906,-37.5,13.443750381469727
1654945859880376600,2.00037646484375,-26.231250762939453,-37.72500228881836,15.168750762939453
1654945859900376600,2.02037646484375,-27.843751907348633,-36.63750076293945,14.043750762939453
1654945859920376600,2.04037646484375,-26.418750762939453,-37.650001525878906,15.731250762939453
1654945859940376600,2.06037646484375,-25.387500762939453,-38.04375076293945,14.49375057220459
1654945859960376600,2.08037646484375,-26.343751907348633,-38.13750076293945,14.062500953674316
1654945859980376600,2.10037646484375,-25.33125114440918,-37.76250076293945,12.33750057220459
1654945860000376600,2.12037646484375,-27.95625114440918,-38.55000305175781,14.081250190734863
1654945860020376600,2.14037646484375,-27.900001525878906,-38.56875228881836,11.96250057220459
1654945860040376600,2.16037646484375,-25.875001907348633,-36.806251525878906,13.36875057220459
1654945860060376600,2.18037646484375,-25.293750762939453,-37.931251525878906,11.362500190734863
1654945860080376600,2.20037646484375,-26.812501907348633,-38.775001525878906,13.706250190734863
1654945860100376600,2.22037646484375,-23.55000114440918,-38.66250228881836,13.012500762939453
1654945860120376600,2.24037646484375,-24.67500114440918,-39.13125228881836,13.481250762939453
1654945860140376600,2.26037646484375,-24.30000114440918,-39.67500305175781,12.393750190734863
1654945860160376600,2.28037646484375,-26.025001525878906,-38.94375228881836,15.15000057220459
1654945860180376600,2.30037646484375,-25.012500762939453,-37.81875228881836,12.768750190734863
1654945860200376600,2.32037646484375,-24.975000381469727,-38.41875076293945,12.112500190734863
1654945860220376600,2.34037646484375,-24.543750762939453,-36.618751525878906,11.943750381469727
1654945860240376600,2.36037646484375,-24.187501907348633,-36.9375,11.268750190734863
1654945860260376600,2.38037646484375,-24.506250381469727,-38.04375076293945,12.375000953674316
1654945860280376600,2.40037646484375,-25.350000381469727,-38.19375228881836,13.518750190734863
1654945860300376600,2.42037646484375,-26.231250762939453,-38.88750076293945,11.30625057220459
1654945860320376600,2.44037646484375,-26.306251525878906,-37.61250305175781,12.168750762939453
1654945860340376600,2.46037646484375,-24.993751525878906,-37.6875,11.625
1654945860360376600,2.48037646484375,-25.312501907348633,-38.41875076293945,12.112500190734863
1654945860380376600,2.50037646484375,-25.312501907348633,-37.23750305175781,11.287500381469727
1654945860400376600,2.52037646484375,-25.481250762939453,-36.337501525878906,10.631250381469727
1654945860420376600,2.54037646484375,-25.14375114440918,-37.06875228881836,11.137500762939453
1654945860440376600,2.56037646484375,-26.287500381469727,-36.618751525878906,10.65000057220459
1654945860460376600,2.58037646484375,-25.968751907348633,-37.57500076293945,11.887500762939453
1654945860480376600,2.60037646484375,-26.006250381469727,-37.70625305175781,12.90000057220459
1654945860500376600,2.62037646484375,-24.750001907348633,-36.22500228881836,13.18125057220459
1654945860520376600,2.64037646484375,-25.106250762939453,-36.20625305175781,14.02500057220459
1654945860540376600,2.66037646484375,-24.618751525878906,-37.01250076293945,15.112500190734863
1654945860560376600,2.68037646484375,-23.193750381469727,-36.525001525878906,15.656250953674316
1654945860580376600,2.70037646484375,-22.087501525878906,-37.38750076293945,17.17500114440918
1654945860600376600,2.72037646484375,-20.83125114440918,-36.48750305175781,17.8125
1654945860620376600,2.74037646484375,-18.168750762939453,-35.34375,19.856250762939453
1654945860640376600,2.76037646484375,-15.768750190734863,-36.243751525878906,21.67500114440918
1654945860660376600,2.78037646484375,-14.343750953674316,-32.34375,24.58125114440918
1654945860680376600,2.80037646484375,-11.418750762939453,-33.5625,25.725000381469727
1654945860700376600,2.82037646484375,-7.387500286102295,-29.887500762939453,28.387500762939453
1654945860720376600,2.84037646484375,-3.937500238418579,-28.33125114440918,30.39375114440918
1654945860740376600,2.86037646484375,1.8562500476837158,-23.212501525878906,32.66250228881836
1654945860760376600,2.88037646484375,4.275000095367432,-19.05000114440918,34.556251525878906
1654945860780376600,2.90037646484375,9,-13.425000190734863,33.618751525878906
1654945860800376600,2.92037646484375,10.83750057220459,-8.081250190734863,32.400001525878906
1654945860820376600,2.94037646484375,13.93125057220459,-0.768750011920929,30.000001907348633
1654945860840376600,2.96037646484375,14.40000057220459,2.981250047683716,27.225000381469727
1654945860860376600,2.98037646484375,14.981250762939453,8.418750762939453,24.281251907348633
1654945860880376600,3.00037646484375,15.33750057220459,11.943750381469727,20.100000381469727
1654945860900376600,3.02037646484375,15.093750953674316,17.34375,17.287500381469727
1654945860920376600,3.04037646484375,14.568750381469727,19.6875,11.49375057220459
1654945860940376600,3.06037646484375,13.612500190734863,21.806251525878906,8.71875
1654945860960376600,3.08037646484375,11.887500762939453,23.17500114440918,5.15625
1654945860980376600,3.10037646484375,11.40000057220459,24.656251907348633,4.293750286102295
1654945861000376600,3.12037646484375,9.80625057220459,24.337501525878906,3.3187501430511475
1654945861020376600,3.14037646484375,9.65625,25.012500762939453,2.4000000953674316
1654945861040376600,3.16037646484375,9,24.843751907348633,2.5500001907348633
1654945861060376600,3.18037646484375,7.050000190734863,25.068750381469727,2.7750000953674316
1654945861080376600,3.20037646484375,6.225000381469727,23.92500114440918,4.3125
1654945861100376600,3.22037646484375,4.725000381469727,23.0625,6.656250476837158
1654945861120376600,3.24037646484375,3.2062501907348633,23.45625114440918,7.875000476837158
1654945861140376600,3.26037646484375,2.8312501907348633,25.556251525878906,7.368750095367432
1654945861160376600,3.28037646484375,3.356250047683716,24.30000114440918,7.650000095367432
1654945861180376600,3.30037646484375,1.5750000476837158,24.918750762939453,6.993750095367432
1654945861200376600,3.32037646484375,-1.6875001192092896,25.312501907348633,6.918750286102295
1654945861220376600,3.34037646484375,-1.537500023841858,25.368751525878906,7.481250286102295
1654945861240376600,3.36037646484375,-3.281250238418579,24.187501907348633,7.012500286102295
1654945861260376600,3.38037646484375,-4.387500286102295,25.05000114440918,5.493750095367432
1654945861280376600,3.40037646484375,-4.893750190734863,24.20625114440918,6.712500095367432
1654945861300376600,3.42037646484375,-3.6000001430511475,24.95625114440918,6.225000381469727
1654945861320376600,3.44037646484375,-5.90625,26.493751525878906,5.90625
