time,seconds_elapsed,lux
1655458234934657500,-1.456342529296875,469.28125
1655458244734657800,8.34365771484375,527.8624877929688
1655458245722205400,9.331205322265625,19.399999618530273
1655458245922205200,9.531205078125,2.5
1655458246122206200,9.731206298828125,5.400000095367432
1655458246322209000,9.931208984375,16.69999885559082
1655458246722205000,10.331204833984375,12.399999618530273
1655458246922212000,10.531212158203125,14.699999809265137
1655458247122212600,10.731212646484375,3
1655458247322211600,10.931211669921876,0
1655458256202212000,19.811212158203126,0
1655458256402212900,20.011212890625,0
1655458257815625200,21.424625244140625,0
1655458258015621600,21.62462158203125,0
1655458258215630600,21.824630615234376,0
1655458258615629300,22.22462939453125,0
1655458258815628000,22.4246279296875,0
1655458259615629300,23.22462939453125,0
1655458261255628500,24.864628662109375,0
1655458264495639300,28.104639404296876,0
1655458271095633400,34.70463330078125,0
1655458283975625500,47.58462548828125,0
1655458379855622700,143.46462255859376,0
1655458438615633200,202.2246330566406,3.6999998092651367
1655458438955618600,202.56461865234374,501.79998779296875
1655458439283121000,202.89212084960937,620.2774658203125
1655458440883115500,204.49211547851561,692.9562377929688
1655458441953116000,205.56211596679688,628.4224853515625
1655458443203117300,206.81211743164062,557.6237182617188
1655458443413115600,207.02211572265625,506.55999755859375
1655458443633115400,207.24211547851561,451.1112365722656
1655458443853117000,207.46211694335938,396.91497802734375
1655458444073117400,207.68211743164062,357.1300048828125
1655458445003118800,208.61211889648436,399.4212341308594
1655458445223117300,208.83211743164063,452.3637390136719
1655458445423117300,209.03211743164061,506.8737487792969
1655458445723117600,209.33211767578126,606.1799926757812
1655458446253118000,209.86211791992187,550.7312622070312
1655458446453117200,210.0621171875,469.9075012207031
1655458446723117300,210.33211743164063,411.6999816894531
1655458446861673700,210.470673828125,9
1655458447061673700,210.670673828125,0
1655458457541679000,221.15067919921876,0
1655458509240620500,272.8496206054688,0
1655458572360610300,335.9696103515625,0
1655458572960615700,336.56961572265624,35.29999923706055
1655458573260614700,336.86961474609376,595
1655458573500612400,337.1096123046875,578.5
1655458573788451300,337.3974514160156,454.8699951171875
1655458576358448600,339.96744873046873,508.75250244140625
1655458577458448400,341.06744848632815,460.50872802734375
1655458581718450700,345.3274506835937,400.0299987792969
1655458581876118500,345.4851184082031,10.199999809265137
1655458582076118500,345.68511840820315,12.399999618530273
1655458582476119300,346.0851193847656,2.0999999046325684
1655458582676123600,346.28512353515623,0
1655458592756124000,356.3651240234375,0
1655458631710710300,395.31971020507814,0
1655458691730710300,455.3397102050781,0
1655458751890710000,515.4997099609375,0
1655458811990709200,575.5997092285156,0
1655458872190709800,635.7997097167969,0
1655458932230711800,695.8397119140625,0
1655459058250708500,821.8597084960937,0
1655459118410710300,882.0197102050781,0
1655459239830713000,1003.4397131347656,0
1655459299810707500,1063.4197075195314,0
1655459300010712000,1063.6197121582031,0
1655459359970711800,1123.5797119140625,0
1655459360210727400,1123.8197275390626,0
1655459385450711800,1149.0597119140625,0
1655459396170711000,1159.7797109375,0
1655459420142659000,1183.7516591796875,0
1655459420342694000,1183.9516938476563,0
1655459480422683100,1244.0316831054688,0
1655459540502643200,1304.111643310547,0
1655459600662657300,1364.2716572265624,0
1655459660662645200,1424.2716452636719,0
1655459660862670800,1424.4716708984374,0
1655459720742641700,1484.3516416015625,0
1655459720942675700,1484.55167578125,0
1655459780862644700,1544.4716447753906,0
1655459781062646000,1544.6716459960937,0
1655459805782642000,1569.3916418457031,0
1655459816102636500,1579.7116364746093,0
1655459844358195200,1607.9671953125,0
1655459904478218200,1668.0872182617188,0
1655459964478221800,1728.087221923828,0
1655460024598199800,1788.2071997070314,0
1655460084718201900,1848.3272019042968,0
1655460144758196500,1908.367196533203,0
1655460516958199600,2280.5671994628906,0
1655460517158198300,2280.7671982421875,0
1655460577158251300,2340.767251220703,0
1655460637318223600,2400.9272236328125,0
1655460697318230500,2460.92723046875,0
1655460697518227200,2461.127227294922,0
1655460699238198800,2462.847198730469,547.7999877929688
1655460699585411600,2463.194411621094,420.4100036621094
1655460701355410400,2464.9644104003905,471.4737243652344
1655460703625409800,2467.234409912109,426.36248779296875
1655460717335407900,2480.9444079589844,376.2387390136719
1655460717945409800,2481.5544099121093,340.2124938964844
1655460718665408000,2482.2744079589843,379.0587463378906
1655460723185410300,2486.7944104003905,430.12249755859375
1655460724930667500,2488.539667480469,629
1655460725330667500,2488.939667480469,641.2000122070312
1655460735650671000,2499.259671142578,626.7000122070312
1655460840487492900,2604.0964929199217,628.8999633789062
1655460900607492000,2664.2164921875,634.2000122070312
1655460960567492600,2724.1764926757814,629.2000122070312
1655461020647491600,2784.2564916992187,627.5
1655461020847491800,2784.456491943359,628.0999755859375
1655461149427494100,2913.036494140625,629.2999877929688
1655461209387492900,2972.996492919922,642.0999755859375
1655461209587492900,2973.196492919922,641.2000122070312
1655461269647493000,3033.2564931640627,642.7999877929688
1655461329647492600,3093.2564926757814,641.2000122070312
1655461389687775200,3153.2967751464844,628.5999755859375
1655461389887492900,3153.496492919922,628.7999877929688
1655461449847495200,3213.4564951171874,629.0999755859375
1655461510027492900,3273.6364929199217,628.2000122070312
1655461570007496000,3333.6164958496092,629.0999755859375
1655461570207494100,3333.816494140625,626
1655461630287492400,3393.8964924316406,627.2999877929688
1655461690327494000,3453.9364938964845,629.5
1655461690527493600,3454.1364936523437,626.7999877929688
1655461750527494000,3514.1364938964844,630.3999633789062
1655461810527492400,3574.136492431641,641.8999633789062
1655461810727492400,3574.3364924316406,641.2000122070312
1655461812367495200,3575.9764951171874,638.5999755859375
